transect,type,sample,density,guild
64,Outside,Amphipods,0.079739036,Holoplankton
65,Outside,Amphipods,0.085616438,Holoplankton
66,Outside,Amphipods,0,Holoplankton
70,Outside,Amphipods,0.019372336,Holoplankton
73,Outside,Amphipods,0.009563277,Holoplankton
74,Outside,Amphipods,0.100913023,Holoplankton
75,Outside,Amphipods,0.007307271,Holoplankton
79,Outside,Amphipods,0.030975736,Holoplankton
81,Outside,Amphipods,0,Holoplankton
84,Outside,Amphipods,0.007491946,Holoplankton
87,Outside,Amphipods,0.019492273,Holoplankton
91,Outside,Amphipods,0.001142204,Holoplankton
92,Outside,Amphipods,0.026490641,Holoplankton
95,Outside,Amphipods,0.020843403,Holoplankton
100,Outside,Amphipods,0.001775989,Holoplankton
102,Outside,Amphipods,0.091769429,Holoplankton
104,Outside,Amphipods,0.023588615,Holoplankton
106,Outside,Amphipods,0.425830604,Holoplankton
108,Outside,Amphipods,0.030800821,Holoplankton
110,Outside,Amphipods,0.065093572,Holoplankton
112,Outside,Amphipods,0.23099851,Holoplankton
115,Outside,Amphipods,0.355643369,Holoplankton
117,Outside,Amphipods,0.291120815,Holoplankton
119,Outside,Amphipods,0.00746826,Holoplankton
121,Outside,Amphipods,0.083892617,Holoplankton
123,Outside,Amphipods,0.132258065,Holoplankton
126,Outside,Amphipods,0.02750275,Holoplankton
128,Outside,Amphipods,0.047293747,Holoplankton
130,Outside,Amphipods,0.051831375,Holoplankton
132,Outside,Amphipods,0.161166539,Holoplankton
134,Outside,Amphipods,0.166226913,Holoplankton
136,Outside,Amphipods,0.038663353,Holoplankton
138,Outside,Amphipods,0.221334153,Holoplankton
140,Outside,Amphipods,0.118736164,Holoplankton
142,Outside,Amphipods,0.041820418,Holoplankton
144,Outside,Amphipods,0.020661157,Holoplankton
146,Outside,Amphipods,0.005891016,Holoplankton
148,Outside,Amphipods,0,Holoplankton
1,Inside,Bivalve.larvae,0,Meroplankton
5,Inside,Bivalve.larvae,0,Meroplankton
8,Inside,Bivalve.larvae,0,Meroplankton
10,Inside,Bivalve.larvae,0,Meroplankton
14,Inside,Bivalve.larvae,2.444570779,Meroplankton
16,Inside,Bivalve.larvae,0,Meroplankton
17,Inside,Bivalve.larvae,0,Meroplankton
18,Inside,Bivalve.larvae,0,Meroplankton
19,Inside,Bivalve.larvae,0.673139159,Meroplankton
21,Inside,Bivalve.larvae,1.282136895,Meroplankton
22,Inside,Bivalve.larvae,0,Meroplankton
24,Inside,Bivalve.larvae,2.324299495,Meroplankton
26,Inside,Bivalve.larvae,0,Meroplankton
27,Inside,Bivalve.larvae,0,Meroplankton
28,Inside,Bivalve.larvae,0,Meroplankton
29,Inside,Bivalve.larvae,0,Meroplankton
31,Inside,Bivalve.larvae,0,Meroplankton
32,Inside,Bivalve.larvae,0,Meroplankton
33,Inside,Bivalve.larvae,0,Meroplankton
34,Inside,Bivalve.larvae,2.089480048,Meroplankton
36,Inside,Bivalve.larvae,10.36437247,Meroplankton
37,Inside,Bivalve.larvae,0,Meroplankton
39,Inside,Bivalve.larvae,0,Meroplankton
40,Inside,Bivalve.larvae,2.6868178,Meroplankton
43,Inside,Bivalve.larvae,0,Meroplankton
44,Inside,Bivalve.larvae,3.582089552,Meroplankton
45,Inside,Bivalve.larvae,0,Meroplankton
46,Inside,Bivalve.larvae,0,Meroplankton
47,Inside,Bivalve.larvae,0,Meroplankton
48,Inside,Bivalve.larvae,0,Meroplankton
49,Inside,Bivalve.larvae,0,Meroplankton
50,Inside,Bivalve.larvae,0,Meroplankton
54,Inside,Bivalve.larvae,0.20962363,Meroplankton
57,Inside,Bivalve.larvae,0.420766882,Meroplankton
59,Inside,Bivalve.larvae,0,Meroplankton
60,Inside,Bivalve.larvae,4.431771894,Meroplankton
61,Inside,Bivalve.larvae,0.046756283,Meroplankton
67,Inside,Bivalve.larvae,0.083044983,Meroplankton
68,Inside,Bivalve.larvae,0.011940299,Meroplankton
69,Inside,Bivalve.larvae,0.035816619,Meroplankton
71,Inside,Bivalve.larvae,16.80683761,Meroplankton
72,Inside,Bivalve.larvae,0.481321839,Meroplankton
76,Inside,Bivalve.larvae,0.069504778,Meroplankton
77,Inside,Bivalve.larvae,0.480640854,Meroplankton
78,Inside,Bivalve.larvae,0.096560048,Meroplankton
80,Inside,Bivalve.larvae,0.077494349,Meroplankton
85,Inside,Bivalve.larvae,0.003621712,Meroplankton
86,Inside,Bivalve.larvae,0.003687089,Meroplankton
88,Inside,Bivalve.larvae,0.0007373,Meroplankton
89,Inside,Bivalve.larvae,0,Meroplankton
90,Inside,Bivalve.larvae,0.008317895,Meroplankton
93,Inside,Bivalve.larvae,0,Meroplankton
96,Inside,Bivalve.larvae,0.005638921,Meroplankton
97,Inside,Bivalve.larvae,0.069601705,Meroplankton
98,Inside,Bivalve.larvae,0.011137098,Meroplankton
99,Inside,Bivalve.larvae,0.019796703,Meroplankton
101,Inside,Bivalve.larvae,0,Meroplankton
103,Inside,Bivalve.larvae,0,Meroplankton
105,Inside,Bivalve.larvae,0,Meroplankton
107,Inside,Bivalve.larvae,0.096435337,Meroplankton
109,Inside,Bivalve.larvae,0.070896845,Meroplankton
111,Inside,Bivalve.larvae,0,Meroplankton
113,Inside,Bivalve.larvae,0.117449664,Meroplankton
114,Inside,Bivalve.larvae,0.011042403,Meroplankton
116,Inside,Bivalve.larvae,0,Meroplankton
118,Inside,Bivalve.larvae,0.954692557,Meroplankton
120,Inside,Bivalve.larvae,0,Meroplankton
122,Inside,Bivalve.larvae,0.22397892,Meroplankton
125,Inside,Bivalve.larvae,0,Meroplankton
127,Inside,Bivalve.larvae,0,Meroplankton
129,Inside,Bivalve.larvae,0,Meroplankton
131,Inside,Bivalve.larvae,0,Meroplankton
133,Inside,Bivalve.larvae,0,Meroplankton
135,Inside,Bivalve.larvae,0.098328417,Meroplankton
137,Inside,Bivalve.larvae,0,Meroplankton
139,Inside,Bivalve.larvae,0.422115164,Meroplankton
141,Inside,Bivalve.larvae,0,Meroplankton
143,Inside,Bivalve.larvae,0,Meroplankton
145,Inside,Bivalve.larvae,0.121177149,Meroplankton
147,Inside,Bivalve.larvae,0.333060333,Meroplankton
2,Outside,Bivalve.larvae,0,Meroplankton
4,Outside,Bivalve.larvae,23.26364692,Meroplankton
9,Outside,Bivalve.larvae,0,Meroplankton
13,Outside,Bivalve.larvae,0,Meroplankton
15,Outside,Bivalve.larvae,0.074165637,Meroplankton
20,Outside,Bivalve.larvae,0,Meroplankton
23,Outside,Bivalve.larvae,0,Meroplankton
30,Outside,Bivalve.larvae,0,Meroplankton
35,Outside,Bivalve.larvae,0,Meroplankton
38,Outside,Bivalve.larvae,0,Meroplankton
41,Outside,Bivalve.larvae,0.357841767,Meroplankton
42,Outside,Bivalve.larvae,1.14729154,Meroplankton
51,Outside,Bivalve.larvae,2.423981641,Meroplankton
52,Outside,Bivalve.larvae,0.966280825,Meroplankton
55,Outside,Bivalve.larvae,0.072408537,Meroplankton
56,Outside,Bivalve.larvae,0.09808983,Meroplankton
64,Outside,Bivalve.larvae,1.812250816,Meroplankton
65,Outside,Bivalve.larvae,1.635273973,Meroplankton
66,Outside,Bivalve.larvae,0.01754386,Meroplankton
70,Outside,Bivalve.larvae,0.003874467,Meroplankton
73,Outside,Bivalve.larvae,0.137073637,Meroplankton
74,Outside,Bivalve.larvae,0.437289765,Meroplankton
75,Outside,Bivalve.larvae,0.014614541,Meroplankton
79,Outside,Bivalve.larvae,0.077439339,Meroplankton
81,Outside,Bivalve.larvae,0.12565445,Meroplankton
84,Outside,Bivalve.larvae,0.000998926,Meroplankton
87,Outside,Bivalve.larvae,0.001392305,Meroplankton
91,Outside,Bivalve.larvae,0.000571102,Meroplankton
92,Outside,Bivalve.larvae,0,Meroplankton
95,Outside,Bivalve.larvae,0.002416626,Meroplankton
100,Outside,Bivalve.larvae,0.002959981,Meroplankton
102,Outside,Bivalve.larvae,0,Meroplankton
104,Outside,Bivalve.larvae,0,Meroplankton
106,Outside,Bivalve.larvae,0,Meroplankton
108,Outside,Bivalve.larvae,0,Meroplankton
110,Outside,Bivalve.larvae,0.008136697,Meroplankton
112,Outside,Bivalve.larvae,0,Meroplankton
115,Outside,Bivalve.larvae,0,Meroplankton
117,Outside,Bivalve.larvae,0,Meroplankton
119,Outside,Bivalve.larvae,0,Meroplankton
121,Outside,Bivalve.larvae,0.037751678,Meroplankton
123,Outside,Bivalve.larvae,0.006451613,Meroplankton
126,Outside,Bivalve.larvae,0.0110011,Meroplankton
128,Outside,Bivalve.larvae,0,Meroplankton
130,Outside,Bivalve.larvae,0,Meroplankton
132,Outside,Bivalve.larvae,0.05372218,Meroplankton
134,Outside,Bivalve.larvae,0,Meroplankton
136,Outside,Bivalve.larvae,0.041425021,Meroplankton
138,Outside,Bivalve.larvae,0.024592684,Meroplankton
140,Outside,Bivalve.larvae,0,Meroplankton
142,Outside,Bivalve.larvae,0,Meroplankton
144,Outside,Bivalve.larvae,0,Meroplankton
146,Outside,Bivalve.larvae,0.002945508,Meroplankton
148,Outside,Bivalve.larvae,0,Meroplankton
1,Inside,Cephalopods,0,Meroplankton
5,Inside,Cephalopods,0.007980846,Meroplankton
8,Inside,Cephalopods,0,Meroplankton
10,Inside,Cephalopods,0,Meroplankton
14,Inside,Cephalopods,0,Meroplankton
16,Inside,Cephalopods,0.005157298,Meroplankton
17,Inside,Cephalopods,0,Meroplankton
18,Inside,Cephalopods,0,Meroplankton
19,Inside,Cephalopods,0.022653722,Meroplankton
21,Inside,Cephalopods,0,Meroplankton
22,Inside,Cephalopods,0,Meroplankton
24,Inside,Cephalopods,0,Meroplankton
26,Inside,Cephalopods,0.005291005,Meroplankton
27,Inside,Cephalopods,0.003306878,Meroplankton
28,Inside,Cephalopods,0,Meroplankton
29,Inside,Cephalopods,0.024764735,Meroplankton
31,Inside,Cephalopods,0.002699784,Meroplankton
32,Inside,Cephalopods,0.006518905,Meroplankton
33,Inside,Cephalopods,0,Meroplankton
34,Inside,Cephalopods,0,Meroplankton
36,Inside,Cephalopods,0.016194332,Meroplankton
37,Inside,Cephalopods,0,Meroplankton
39,Inside,Cephalopods,0.00428449,Meroplankton
40,Inside,Cephalopods,0,Meroplankton
43,Inside,Cephalopods,0,Meroplankton
44,Inside,Cephalopods,0,Meroplankton
45,Inside,Cephalopods,0,Meroplankton
46,Inside,Cephalopods,0,Meroplankton
47,Inside,Cephalopods,0,Meroplankton
48,Inside,Cephalopods,0,Meroplankton
49,Inside,Cephalopods,0,Meroplankton
50,Inside,Cephalopods,0,Meroplankton
54,Inside,Cephalopods,0.002382087,Meroplankton
57,Inside,Cephalopods,0,Meroplankton
59,Inside,Cephalopods,0,Meroplankton
60,Inside,Cephalopods,0,Meroplankton
61,Inside,Cephalopods,0,Meroplankton
67,Inside,Cephalopods,0,Meroplankton
68,Inside,Cephalopods,0,Meroplankton
69,Inside,Cephalopods,0,Meroplankton
71,Inside,Cephalopods,0,Meroplankton
72,Inside,Cephalopods,0,Meroplankton
76,Inside,Cephalopods,0,Meroplankton
77,Inside,Cephalopods,0,Meroplankton
78,Inside,Cephalopods,0,Meroplankton
80,Inside,Cephalopods,0,Meroplankton
85,Inside,Cephalopods,0,Meroplankton
86,Inside,Cephalopods,0,Meroplankton
88,Inside,Cephalopods,0,Meroplankton
89,Inside,Cephalopods,0,Meroplankton
90,Inside,Cephalopods,0.001134258,Meroplankton
93,Inside,Cephalopods,0,Meroplankton
96,Inside,Cephalopods,0.005325648,Meroplankton
97,Inside,Cephalopods,0.00399627,Meroplankton
98,Inside,Cephalopods,0.000371237,Meroplankton
99,Inside,Cephalopods,0.000761412,Meroplankton
101,Inside,Cephalopods,0.006963788,Meroplankton
103,Inside,Cephalopods,0,Meroplankton
105,Inside,Cephalopods,0,Meroplankton
107,Inside,Cephalopods,0,Meroplankton
109,Inside,Cephalopods,0,Meroplankton
111,Inside,Cephalopods,0.004016064,Meroplankton
113,Inside,Cephalopods,0.008389262,Meroplankton
114,Inside,Cephalopods,0,Meroplankton
116,Inside,Cephalopods,0,Meroplankton
118,Inside,Cephalopods,0,Meroplankton
120,Inside,Cephalopods,0.00234852,Meroplankton
122,Inside,Cephalopods,0,Meroplankton
125,Inside,Cephalopods,0,Meroplankton
127,Inside,Cephalopods,0,Meroplankton
129,Inside,Cephalopods,0,Meroplankton
131,Inside,Cephalopods,0.004128819,Meroplankton
133,Inside,Cephalopods,0,Meroplankton
135,Inside,Cephalopods,0,Meroplankton
137,Inside,Cephalopods,0,Meroplankton
139,Inside,Cephalopods,0,Meroplankton
141,Inside,Cephalopods,0,Meroplankton
143,Inside,Cephalopods,0,Meroplankton
145,Inside,Cephalopods,0,Meroplankton
147,Inside,Cephalopods,0.002730003,Meroplankton
2,Outside,Cephalopods,0,Meroplankton
4,Outside,Cephalopods,0.0029036,Meroplankton
9,Outside,Cephalopods,0,Meroplankton
13,Outside,Cephalopods,0,Meroplankton
15,Outside,Cephalopods,0,Meroplankton
20,Outside,Cephalopods,0,Meroplankton
23,Outside,Cephalopods,0,Meroplankton
30,Outside,Cephalopods,0.037488285,Meroplankton
35,Outside,Cephalopods,0.015243902,Meroplankton
38,Outside,Cephalopods,0,Meroplankton
41,Outside,Cephalopods,0,Meroplankton
42,Outside,Cephalopods,0,Meroplankton
51,Outside,Cephalopods,0,Meroplankton
52,Outside,Cephalopods,0,Meroplankton
55,Outside,Cephalopods,0,Meroplankton
56,Outside,Cephalopods,0,Meroplankton
64,Outside,Cephalopods,0.014498007,Meroplankton
65,Outside,Cephalopods,0,Meroplankton
66,Outside,Cephalopods,0,Meroplankton
70,Outside,Cephalopods,0,Meroplankton
73,Outside,Cephalopods,0,Meroplankton
74,Outside,Cephalopods,0,Meroplankton
75,Outside,Cephalopods,0,Meroplankton
79,Outside,Cephalopods,0,Meroplankton
81,Outside,Cephalopods,0,Meroplankton
84,Outside,Cephalopods,0.000249732,Meroplankton
87,Outside,Cephalopods,0,Meroplankton
91,Outside,Cephalopods,0.000571102,Meroplankton
92,Outside,Cephalopods,0,Meroplankton
95,Outside,Cephalopods,0,Meroplankton
100,Outside,Cephalopods,0,Meroplankton
102,Outside,Cephalopods,0,Meroplankton
104,Outside,Cephalopods,0.001572574,Meroplankton
106,Outside,Cephalopods,0,Meroplankton
108,Outside,Cephalopods,0,Meroplankton
110,Outside,Cephalopods,0,Meroplankton
112,Outside,Cephalopods,0.005588674,Meroplankton
115,Outside,Cephalopods,0,Meroplankton
117,Outside,Cephalopods,0,Meroplankton
119,Outside,Cephalopods,0,Meroplankton
121,Outside,Cephalopods,0,Meroplankton
123,Outside,Cephalopods,0,Meroplankton
126,Outside,Cephalopods,0,Meroplankton
128,Outside,Cephalopods,0,Meroplankton
130,Outside,Cephalopods,0.003455425,Meroplankton
132,Outside,Cephalopods,0,Meroplankton
134,Outside,Cephalopods,0,Meroplankton
136,Outside,Cephalopods,0,Meroplankton
138,Outside,Cephalopods,0,Meroplankton
140,Outside,Cephalopods,0,Meroplankton
142,Outside,Cephalopods,0,Meroplankton
144,Outside,Cephalopods,0,Meroplankton
146,Outside,Cephalopods,0,Meroplankton
148,Outside,Cephalopods,0,Meroplankton
1,Inside,Chaetognaths,46.03503185,Holoplankton
5,Inside,Chaetognaths,7.118914605,Holoplankton
8,Inside,Chaetognaths,123.8033728,Holoplankton
10,Inside,Chaetognaths,36.40883978,Holoplankton
14,Inside,Chaetognaths,0.602615122,Holoplankton
16,Inside,Chaetognaths,25.33264569,Holoplankton
17,Inside,Chaetognaths,4.132231405,Holoplankton
18,Inside,Chaetognaths,26.76293622,Holoplankton
19,Inside,Chaetognaths,15.01618123,Holoplankton
21,Inside,Chaetognaths,1.602671119,Holoplankton
22,Inside,Chaetognaths,0.148658448,Holoplankton
24,Inside,Chaetognaths,2.664216812,Holoplankton
26,Inside,Chaetognaths,19.1957672,Holoplankton
27,Inside,Chaetognaths,3.716931217,Holoplankton
28,Inside,Chaetognaths,38.78191326,Holoplankton
29,Inside,Chaetognaths,5.673600792,Holoplankton
31,Inside,Chaetognaths,8.944384449,Holoplankton
32,Inside,Chaetognaths,8.552803129,Holoplankton
33,Inside,Chaetognaths,2.539954338,Holoplankton
34,Inside,Chaetognaths,10.98911729,Holoplankton
36,Inside,Chaetognaths,8.550607287,Holoplankton
37,Inside,Chaetognaths,20.63742032,Holoplankton
39,Inside,Chaetognaths,6.945158526,Holoplankton
40,Inside,Chaetognaths,13.00867618,Holoplankton
43,Inside,Chaetognaths,16.00214938,Holoplankton
44,Inside,Chaetognaths,28.28932262,Holoplankton
45,Inside,Chaetognaths,5.750642674,Holoplankton
46,Inside,Chaetognaths,4.01897851,Holoplankton
47,Inside,Chaetognaths,0.204081633,Holoplankton
48,Inside,Chaetognaths,13.90755241,Holoplankton
49,Inside,Chaetognaths,19.82375479,Holoplankton
50,Inside,Chaetognaths,10.04440856,Holoplankton
54,Inside,Chaetognaths,9.094807051,Holoplankton
57,Inside,Chaetognaths,0.85850017,Holoplankton
59,Inside,Chaetognaths,2.140052356,Holoplankton
60,Inside,Chaetognaths,34.70468432,Holoplankton
61,Inside,Chaetognaths,45.07305669,Holoplankton
67,Inside,Chaetognaths,1.633217993,Holoplankton
68,Inside,Chaetognaths,0.014925373,Holoplankton
69,Inside,Chaetognaths,0.064469914,Holoplankton
71,Inside,Chaetognaths,1.44957265,Holoplankton
72,Inside,Chaetognaths,0.380747126,Holoplankton
76,Inside,Chaetognaths,0.538662033,Holoplankton
77,Inside,Chaetognaths,0.023364486,Holoplankton
78,Inside,Chaetognaths,0.162945081,Holoplankton
80,Inside,Chaetognaths,0.187278011,Holoplankton
85,Inside,Chaetognaths,0.296074969,Holoplankton
86,Inside,Chaetognaths,1.530141953,Holoplankton
88,Inside,Chaetognaths,0.676104107,Holoplankton
89,Inside,Chaetognaths,0.107175751,Holoplankton
90,Inside,Chaetognaths,0.105864116,Holoplankton
93,Inside,Chaetognaths,0.677419355,Holoplankton
96,Inside,Chaetognaths,0.921650324,Holoplankton
97,Inside,Chaetognaths,0.708338884,Holoplankton
98,Inside,Chaetognaths,0.291791959,Holoplankton
99,Inside,Chaetognaths,0.171698329,Holoplankton
101,Inside,Chaetognaths,0.921541318,Holoplankton
103,Inside,Chaetognaths,2.300015593,Holoplankton
105,Inside,Chaetognaths,1.425696075,Holoplankton
107,Inside,Chaetognaths,12.34027897,Holoplankton
109,Inside,Chaetognaths,1.020914569,Holoplankton
111,Inside,Chaetognaths,1.044176707,Holoplankton
113,Inside,Chaetognaths,0.054530201,Holoplankton
114,Inside,Chaetognaths,0.7045053,Holoplankton
116,Inside,Chaetognaths,0.112289457,Holoplankton
118,Inside,Chaetognaths,0.469255663,Holoplankton
120,Inside,Chaetognaths,0.234852043,Holoplankton
122,Inside,Chaetognaths,2.476943347,Holoplankton
125,Inside,Chaetognaths,0.407821229,Holoplankton
127,Inside,Chaetognaths,0.053823727,Holoplankton
129,Inside,Chaetognaths,0.080423696,Holoplankton
131,Inside,Chaetognaths,0.654417836,Holoplankton
133,Inside,Chaetognaths,1.265976872,Holoplankton
135,Inside,Chaetognaths,2.566371681,Holoplankton
137,Inside,Chaetognaths,10.39251208,Holoplankton
139,Inside,Chaetognaths,8.460656114,Holoplankton
141,Inside,Chaetognaths,2.934595525,Holoplankton
143,Inside,Chaetognaths,0.158054711,Holoplankton
145,Inside,Chaetognaths,0.077899596,Holoplankton
147,Inside,Chaetognaths,0.038220038,Holoplankton
2,Outside,Chaetognaths,20.66956995,Holoplankton
4,Outside,Chaetognaths,0.917537747,Holoplankton
9,Outside,Chaetognaths,14.44907683,Holoplankton
13,Outside,Chaetognaths,0.101322826,Holoplankton
15,Outside,Chaetognaths,4.153275649,Holoplankton
20,Outside,Chaetognaths,18.77124183,Holoplankton
23,Outside,Chaetognaths,0,Holoplankton
30,Outside,Chaetognaths,1.227741331,Holoplankton
35,Outside,Chaetognaths,23.79065041,Holoplankton
38,Outside,Chaetognaths,12.34138125,Holoplankton
41,Outside,Chaetognaths,5.985462678,Holoplankton
42,Outside,Chaetognaths,1.062081558,Holoplankton
51,Outside,Chaetognaths,0.765920826,Holoplankton
52,Outside,Chaetognaths,9.682939104,Holoplankton
55,Outside,Chaetognaths,11.1089939,Holoplankton
56,Outside,Chaetognaths,10.98606092,Holoplankton
64,Outside,Chaetognaths,7.412105835,Holoplankton
65,Outside,Chaetognaths,6.314212329,Holoplankton
66,Outside,Chaetognaths,0.105263158,Holoplankton
70,Outside,Chaetognaths,0.313831848,Holoplankton
73,Outside,Chaetognaths,1.600255021,Holoplankton
74,Outside,Chaetognaths,2.229697261,Holoplankton
75,Outside,Chaetognaths,0.504201681,Holoplankton
79,Outside,Chaetognaths,0.092927207,Holoplankton
81,Outside,Chaetognaths,0.659685864,Holoplankton
84,Outside,Chaetognaths,0.125365232,Holoplankton
87,Outside,Chaetognaths,0.363855757,Holoplankton
91,Outside,Chaetognaths,0.022844089,Holoplankton
92,Outside,Chaetognaths,0.324401789,Holoplankton
95,Outside,Chaetognaths,0.228371194,Holoplankton
100,Outside,Chaetognaths,0.101823348,Holoplankton
102,Outside,Chaetognaths,1.620303986,Holoplankton
104,Outside,Chaetognaths,0.330240604,Holoplankton
106,Outside,Chaetognaths,16.71970051,Holoplankton
108,Outside,Chaetognaths,0.07871321,Holoplankton
110,Outside,Chaetognaths,1.796175753,Holoplankton
112,Outside,Chaetognaths,0.081967213,Holoplankton
115,Outside,Chaetognaths,0.395159299,Holoplankton
117,Outside,Chaetognaths,0.655021834,Holoplankton
119,Outside,Chaetognaths,0.351008215,Holoplankton
121,Outside,Chaetognaths,0.151006711,Holoplankton
123,Outside,Chaetognaths,1.151612903,Holoplankton
126,Outside,Chaetognaths,0.01650165,Holoplankton
128,Outside,Chaetognaths,0.055176038,Holoplankton
130,Outside,Chaetognaths,0.680718728,Holoplankton
132,Outside,Chaetognaths,1.458173446,Holoplankton
134,Outside,Chaetognaths,0.918205805,Holoplankton
136,Outside,Chaetognaths,0.12703673,Holoplankton
138,Outside,Chaetognaths,27.07654473,Holoplankton
140,Outside,Chaetognaths,0.476957134,Holoplankton
142,Outside,Chaetognaths,0.521525215,Holoplankton
144,Outside,Chaetognaths,1.838842975,Holoplankton
146,Outside,Chaetognaths,0.011782032,Holoplankton
148,Outside,Chaetognaths,0.023771791,Holoplankton
1,Inside,Cladocerans,38.07324841,Holoplankton
5,Inside,Cladocerans,7.565841979,Holoplankton
8,Inside,Cladocerans,3.415859347,Holoplankton
10,Inside,Cladocerans,3.802946593,Holoplankton
14,Inside,Cladocerans,3.536100057,Holoplankton
16,Inside,Cladocerans,8.334192883,Holoplankton
17,Inside,Cladocerans,4.958677686,Holoplankton
18,Inside,Cladocerans,2.551143201,Holoplankton
19,Inside,Cladocerans,8.647249191,Holoplankton
21,Inside,Cladocerans,0.908180301,Holoplankton
22,Inside,Cladocerans,0.53662074,Holoplankton
24,Inside,Cladocerans,2.636655949,Holoplankton
