taxon,family,genus,species,transect,type,volume.m3,total.length.mm,Habitat,Habitat.verbose
Hemiramphus depauperatus,Hemiramphidae,Hemiramphus,depauperatus,4,Outside,344.4,6,Epipelagic,Epipelagic-neritic
Hemiramphus depauperatus,Hemiramphidae,Hemiramphus,depauperatus,4,Outside,344.4,6,Epipelagic,Epipelagic-neritic
Unk.Mullid,Mullidae,Unk.Mullid,,4,Outside,344.4,6,CoralReef,Reef-associated
Kyphosus sp.,Kyphosidae,Kyphosus,sp.,4,Outside,344.4,4,CoralReef,Reef-associated
Unk.Mullid,Mullidae,Unk.Mullid,,4,Outside,344.4,6,CoralReef,Reef-associated
Abudefduf sp.,Pomacentridae,Abudefduf,sp.,4,Outside,344.4,4,CoralReef,Reef-associated
Abudefduf sp.,Pomacentridae,Abudefduf,sp.,4,Outside,344.4,5,CoralReef,Reef-associated
Unk.Mullid,Mullidae,Unk.Mullid,,4,Outside,344.4,3,CoralReef,Reef-associated
Unk.Mullid,Mullidae,Unk.Mullid,,4,Outside,344.4,8,CoralReef,Reef-associated
Unknown,Unknown,Unknown,,4,Outside,344.4,3,NA,NA
Kyphosus sp.,Kyphosidae,Kyphosus,sp.,4,Outside,344.4,3,CoralReef,Reef-associated
Hemiramphus depauperatus,Hemiramphidae,Hemiramphus,depauperatus,4,Outside,344.4,6,Epipelagic,Epipelagic-neritic
Unknown,Unknown,Unknown,,4,Outside,344.4,3,NA,NA
Unknown,Unknown,Unknown,,4,Outside,344.4,3,NA,NA
Hemiramphus depauperatus,Hemiramphidae,Hemiramphus,depauperatus,4,Outside,344.4,6,Epipelagic,Epipelagic-neritic
Kyphosus sp.,Kyphosidae,Kyphosus,sp.,4,Outside,344.4,3,CoralReef,Reef-associated
Hemiramphus depauperatus,Hemiramphidae,Hemiramphus,depauperatus,4,Outside,344.4,6,Epipelagic,Epipelagic-neritic
Hemiramphus depauperatus,Hemiramphidae,Hemiramphus,depauperatus,4,Outside,344.4,6,Epipelagic,Epipelagic-neritic
Kyphosus sp.,Kyphosidae,Kyphosus,sp.,4,Outside,344.4,3,CoralReef,Reef-associated
Unknown,Unknown,Unknown,,4,Outside,344.4,6,NA,NA
Unk.Mullid,Mullidae,Unk.Mullid,,4,Outside,344.4,6,CoralReef,Reef-associated
Unk.Mullid,Mullidae,Unk.Mullid,,4,Outside,344.4,6,CoralReef,Reef-associated
Unknown,Unknown,Unknown,,4,Outside,344.4,3,NA,NA
Unknown,Unknown,Unknown,,4,Outside,344.4,5,NA,NA
Kyphosus sp.,Kyphosidae,Kyphosus,sp.,4,Outside,344.4,4,CoralReef,Reef-associated
Kyphosus sp.,Kyphosidae,Kyphosus,sp.,4,Outside,344.4,3,CoralReef,Reef-associated
Abudefduf sp.,Pomacentridae,Abudefduf,sp.,4,Outside,344.4,3,CoralReef,Reef-associated
Abudefduf sp.,Pomacentridae,Abudefduf,sp.,4,Outside,344.4,5,CoralReef,Reef-associated
Kyphosus sp.,Kyphosidae,Kyphosus,sp.,4,Outside,344.4,3,CoralReef,Reef-associated
Unknown,Unknown,Unknown,,4,Outside,344.4,4,NA,NA
Hemiramphus depauperatus,Hemiramphidae,Hemiramphus,depauperatus,4,Outside,344.4,6,Epipelagic,Epipelagic-neritic
Kyphosus sp.,Kyphosidae,Kyphosus,sp.,4,Outside,344.4,3,CoralReef,Reef-associated
Unknown,Unknown,Unknown,,4,Outside,344.4,3,NA,NA
Abudefduf sp.,Pomacentridae,Abudefduf,sp.,4,Outside,344.4,3,CoralReef,Reef-associated
Unk.Mullid,Mullidae,Unk.Mullid,,4,Outside,344.4,6,CoralReef,Reef-associated
Unk.Mullid,Mullidae,Unk.Mullid,,4,Outside,344.4,6,CoralReef,Reef-associated
Tylosurus crocodilus,Belonidae,Tylosurus,crocodilus ,4,Outside,344.4,11,Epipelagic,Epipelagic-neritic
Unknown,Unknown,Unknown,,4,Outside,344.4,3,NA,NA
Unk.Mullid,Mullidae,Unk.Mullid,,4,Outside,344.4,6,CoralReef,Reef-associated
Kyphosus sp.,Kyphosidae,Kyphosus,sp.,4,Outside,344.4,3,CoralReef,Reef-associated
Hemiramphus depauperatus,Hemiramphidae,Hemiramphus,depauperatus,4,Outside,344.4,6,Epipelagic,Epipelagic-neritic
Unk.Exocoetid,Exocoetidae,Unk.Exocoetid,,4,Outside,344.4,8,Epipelagic,Epipelagic-neritic
Unk.Mullid,Mullidae,Unk.Mullid,,4,Outside,344.4,3,CoralReef,Reef-associated
Unknown,Unknown,Unknown,,4,Outside,344.4,4,NA,NA
Hemiramphus depauperatus,Hemiramphidae,Hemiramphus,depauperatus,4,Outside,344.4,6,Epipelagic,Epipelagic-neritic
Unk.Mullid,Mullidae,Unk.Mullid,,4,Outside,344.4,6,CoralReef,Reef-associated
Kyphosus sp.,Kyphosidae,Kyphosus,sp.,4,Outside,344.4,3,CoralReef,Reef-associated
Unk.Mullid,Mullidae,Unk.Mullid,,4,Outside,344.4,6,CoralReef,Reef-associated
Kyphosus sp.,Kyphosidae,Kyphosus,sp.,4,Outside,344.4,3,CoralReef,Reef-associated
Abudefduf sp.,Pomacentridae,Abudefduf,sp.,4,Outside,344.4,5,CoralReef,Reef-associated
Hemiramphus depauperatus,Hemiramphidae,Hemiramphus,depauperatus,4,Outside,344.4,6,Epipelagic,Epipelagic-neritic
Parupeneus sp.,Mullidae,Parupeneus,sp.,4,Outside,344.4,4,CoralReef,Reef-associated
Unk.Mullid,Mullidae,Unk.Mullid,,4,Outside,344.4,3,CoralReef,Reef-associated
Unk.Mullid,Mullidae,Unk.Mullid,,4,Outside,344.4,6,CoralReef,Reef-associated
Hemiramphus depauperatus,Hemiramphidae,Hemiramphus,depauperatus,4,Outside,344.4,6,Epipelagic,Epipelagic-neritic
Hemiramphus depauperatus,Hemiramphidae,Hemiramphus,depauperatus,4,Outside,344.4,6,Epipelagic,Epipelagic-neritic
Mulloidichthys sp.,Mullidae,Mulloidichthys,sp.,5,Inside,375.9,4,CoralReef,Reef-associated
Hemiramphus depauperatus,Hemiramphidae,Hemiramphus,depauperatus,5,Inside,375.9,5,Epipelagic,Epipelagic-neritic
Kyphosus sp.,Kyphosidae,Kyphosus,sp.,5,Inside,375.9,3,CoralReef,Reef-associated
Hemiramphus depauperatus,Hemiramphidae,Hemiramphus,depauperatus,5,Inside,375.9,5,Epipelagic,Epipelagic-neritic
Abudefduf sp.,Pomacentridae,Abudefduf,sp.,5,Inside,375.9,3,CoralReef,Reef-associated
Parexocoetus brachypterus,Exocoetidae,Parexocoetus,brachypterus,5,Inside,375.9,3,Epipelagic,Epipelagic-neritic
Hemiramphus depauperatus,Hemiramphidae,Hemiramphus,depauperatus,5,Inside,375.9,5,Epipelagic,Epipelagic-neritic
Hemiramphus depauperatus,Hemiramphidae,Hemiramphus,depauperatus,5,Inside,375.9,9,Epipelagic,Epipelagic-neritic
Parexocoetus brachypterus,Exocoetidae,Parexocoetus,brachypterus,5,Inside,375.9,4,Epipelagic,Epipelagic-neritic
Hemiramphus depauperatus,Hemiramphidae,Hemiramphus,depauperatus,5,Inside,375.9,5,Epipelagic,Epipelagic-neritic
Unknown,Unknown,Unknown,,5,Inside,375.9,4,NA,NA
Mulloidichthys sp.,Mullidae,Mulloidichthys,sp.,5,Inside,375.9,4,CoralReef,Reef-associated
Kyphosus sp.,Kyphosidae,Kyphosus,sp.,5,Inside,375.9,8,CoralReef,Reef-associated
Hemiramphus depauperatus,Hemiramphidae,Hemiramphus,depauperatus,5,Inside,375.9,6,Epipelagic,Epipelagic-neritic
Abudefduf sp.,Pomacentridae,Abudefduf,sp.,5,Inside,375.9,20,CoralReef,Reef-associated
Mulloidichthys sp.,Mullidae,Mulloidichthys,sp.,5,Inside,375.9,4,CoralReef,Reef-associated
Abudefduf sp.,Pomacentridae,Abudefduf,sp.,5,Inside,375.9,3,CoralReef,Reef-associated
Unknown,Unknown,Unknown,,5,Inside,375.9,4,NA,NA
Unknown,Unknown,Unknown,,5,Inside,375.9,3,NA,NA
Parexocoetus brachypterus,Exocoetidae,Parexocoetus,brachypterus,5,Inside,375.9,4,Epipelagic,Epipelagic-neritic
Kyphosus sp.,Kyphosidae,Kyphosus,sp.,5,Inside,375.9,6,CoralReef,Reef-associated
Cyclothone alba,Gonostomatidae,Cyclothone,alba,5,Inside,375.9,10,Deep-water,Mesopelagic
Parexocoetus brachypterus,Exocoetidae,Parexocoetus,brachypterus,5,Inside,375.9,4,Epipelagic,Epipelagic-neritic
Unknown,Unknown,Unknown,,5,Inside,375.9,4,NA,NA
Hemiramphus depauperatus,Hemiramphidae,Hemiramphus,depauperatus,5,Inside,375.9,6,Epipelagic,Epipelagic-neritic
Kyphosus sp.,Kyphosidae,Kyphosus,sp.,5,Inside,375.9,3,CoralReef,Reef-associated
Parexocoetus brachypterus,Exocoetidae,Parexocoetus,brachypterus,5,Inside,375.9,6,Epipelagic,Epipelagic-neritic
Kyphosus sp.,Kyphosidae,Kyphosus,sp.,5,Inside,375.9,4,CoralReef,Reef-associated
Hemiramphus depauperatus,Hemiramphidae,Hemiramphus,depauperatus,5,Inside,375.9,5,Epipelagic,Epipelagic-neritic
Parupeneus sp.,Mullidae,Parupeneus,sp.,5,Inside,375.9,3,CoralReef,Reef-associated
Hemiramphus depauperatus,Hemiramphidae,Hemiramphus,depauperatus,5,Inside,375.9,6,Epipelagic,Epipelagic-neritic
Abudefduf sp.,Pomacentridae,Abudefduf,sp.,5,Inside,375.9,3,CoralReef,Reef-associated
Hemiramphus depauperatus,Hemiramphidae,Hemiramphus,depauperatus,5,Inside,375.9,6,Epipelagic,Epipelagic-neritic
Mulloidichthys sp.,Mullidae,Mulloidichthys,sp.,5,Inside,375.9,4,CoralReef,Reef-associated
Parexocoetus brachypterus,Exocoetidae,Parexocoetus,brachypterus,5,Inside,375.9,3,Epipelagic,Epipelagic-neritic
Parexocoetus brachypterus,Exocoetidae,Parexocoetus,brachypterus,5,Inside,375.9,4,Epipelagic,Epipelagic-neritic
Kyphosus sp.,Kyphosidae,Kyphosus,sp.,5,Inside,375.9,2,CoralReef,Reef-associated
Hemiramphus depauperatus,Hemiramphidae,Hemiramphus,depauperatus,5,Inside,375.9,5,Epipelagic,Epipelagic-neritic
Unk.Mullid,Mullidae,Unk.Mullid,,5,Inside,375.9,3,CoralReef,Reef-associated
Unk.Mullid,Mullidae,Unk.Mullid,,5,Inside,375.9,3,CoralReef,Reef-associated
Parexocoetus brachypterus,Exocoetidae,Parexocoetus,brachypterus,5,Inside,375.9,4,Epipelagic,Epipelagic-neritic
Hemiramphus depauperatus,Hemiramphidae,Hemiramphus,depauperatus,5,Inside,375.9,10,Epipelagic,Epipelagic-neritic
Unknown,Unknown,Unknown,,5,Inside,375.9,3,NA,NA
Unknown,Unknown,Unknown,,5,Inside,375.9,3,NA,NA
Unknown,Unknown,Unknown,,5,Inside,375.9,4,NA,NA
Hemiramphus depauperatus,Hemiramphidae,Hemiramphus,depauperatus,5,Inside,375.9,6,Epipelagic,Epipelagic-neritic
Atherinomorus insularum,Atherinidae,Atherinomorus,insularum,5,Inside,375.9,3,CoralReef,Reef-associated
Hemiramphus depauperatus,Hemiramphidae,Hemiramphus,depauperatus,5,Inside,375.9,8,Epipelagic,Epipelagic-neritic
Unknown,Unknown,Unknown,,5,Inside,375.9,2,NA,NA
Hemiramphus depauperatus,Hemiramphidae,Hemiramphus,depauperatus,5,Inside,375.9,6,Epipelagic,Epipelagic-neritic
Parexocoetus brachypterus,Exocoetidae,Parexocoetus,brachypterus,5,Inside,375.9,3,Epipelagic,Epipelagic-neritic
Hemiramphus depauperatus,Hemiramphidae,Hemiramphus,depauperatus,5,Inside,375.9,6,Epipelagic,Epipelagic-neritic
Parexocoetus brachypterus,Exocoetidae,Parexocoetus,brachypterus,5,Inside,375.9,6,Epipelagic,Epipelagic-neritic
Mulloidichthys sp.,Mullidae,Mulloidichthys,sp.,5,Inside,375.9,4,CoralReef,Reef-associated
Kyphosus sp.,Kyphosidae,Kyphosus,sp.,5,Inside,375.9,4,CoralReef,Reef-associated
Atherinomorus insularum,Atherinidae,Atherinomorus,insularum,5,Inside,375.9,3,CoralReef,Reef-associated
Parupeneus sp.,Mullidae,Parupeneus,sp.,5,Inside,375.9,3,CoralReef,Reef-associated
Unknown,Unknown,Unknown,,5,Inside,375.9,3,NA,NA
Parexocoetus brachypterus,Exocoetidae,Parexocoetus,brachypterus,5,Inside,375.9,3,Epipelagic,Epipelagic-neritic
Rhinecanthus sp.,Balistidae,Rhinecanthus,sp.,5,Inside,375.9,10,CoralReef,Reef-associated
Mulloidichthys sp.,Mullidae,Mulloidichthys,sp.,5,Inside,375.9,4,CoralReef,Reef-associated
Parexocoetus brachypterus,Exocoetidae,Parexocoetus,brachypterus,5,Inside,375.9,3,Epipelagic,Epipelagic-neritic
Parexocoetus brachypterus,Exocoetidae,Parexocoetus,brachypterus,5,Inside,375.9,3,Epipelagic,Epipelagic-neritic
Parexocoetus brachypterus,Exocoetidae,Parexocoetus,brachypterus,5,Inside,375.9,4,Epipelagic,Epipelagic-neritic
Hemiramphus depauperatus,Hemiramphidae,Hemiramphus,depauperatus,5,Inside,375.9,5,Epipelagic,Epipelagic-neritic
Hemiramphus depauperatus,Hemiramphidae,Hemiramphus,depauperatus,5,Inside,375.9,5,Epipelagic,Epipelagic-neritic
Parupeneus sp.,Mullidae,Parupeneus,sp.,5,Inside,375.9,3,CoralReef,Reef-associated
Cyclothone alba,Gonostomatidae,Cyclothone,alba,5,Inside,375.9,7,Deep-water,Mesopelagic
Parexocoetus brachypterus,Exocoetidae,Parexocoetus,brachypterus,5,Inside,375.9,6,Epipelagic,Epipelagic-neritic
Abudefduf sp.,Pomacentridae,Abudefduf,sp.,5,Inside,375.9,2,CoralReef,Reef-associated
Mulloidichthys sp.,Mullidae,Mulloidichthys,sp.,5,Inside,375.9,4,CoralReef,Reef-associated
Hemiramphus depauperatus,Hemiramphidae,Hemiramphus,depauperatus,5,Inside,375.9,5,Epipelagic,Epipelagic-neritic
Abudefduf sp.,Pomacentridae,Abudefduf,sp.,5,Inside,375.9,3,CoralReef,Reef-associated
Hemiramphus depauperatus,Hemiramphidae,Hemiramphus,depauperatus,5,Inside,375.9,5,Epipelagic,Epipelagic-neritic
Unknown,Unknown,Unknown,,5,Inside,375.9,3,NA,NA
Atherinomorus insularum,Atherinidae,Atherinomorus,insularum,5,Inside,375.9,3,CoralReef,Reef-associated
Abudefduf sp.,Pomacentridae,Abudefduf,sp.,5,Inside,375.9,18,CoralReef,Reef-associated
Gempylus serpens,Gempylidae,Gempylus,serpens,5,Inside,375.9,3,Deep-water,Mesopelagic
Kyphosus sp.,Kyphosidae,Kyphosus,sp.,5,Inside,375.9,4,CoralReef,Reef-associated
Hemiramphus depauperatus,Hemiramphidae,Hemiramphus,depauperatus,5,Inside,375.9,6,Epipelagic,Epipelagic-neritic
Kyphosus sp.,Kyphosidae,Kyphosus,sp.,5,Inside,375.9,3,CoralReef,Reef-associated
Parexocoetus brachypterus,Exocoetidae,Parexocoetus,brachypterus,5,Inside,375.9,4,Epipelagic,Epipelagic-neritic
Unknown,Unknown,Unknown,,5,Inside,375.9,3,NA,NA
Kyphosus sp.,Kyphosidae,Kyphosus,sp.,5,Inside,375.9,4,CoralReef,Reef-associated
Hemiramphus depauperatus,Hemiramphidae,Hemiramphus,depauperatus,5,Inside,375.9,6,Epipelagic,Epipelagic-neritic
Hemiramphus depauperatus,Hemiramphidae,Hemiramphus,depauperatus,5,Inside,375.9,5,Epipelagic,Epipelagic-neritic
Hemiramphus depauperatus,Hemiramphidae,Hemiramphus,depauperatus,5,Inside,375.9,9,Epipelagic,Epipelagic-neritic
Atherinomorus insularum,Atherinidae,Atherinomorus,insularum,5,Inside,375.9,3,CoralReef,Reef-associated
Unknown,Unknown,Unknown,,5,Inside,375.9,3,NA,NA
Parexocoetus brachypterus,Exocoetidae,Parexocoetus,brachypterus,5,Inside,375.9,3,Epipelagic,Epipelagic-neritic
Unknown,Unknown,Unknown,,5,Inside,375.9,2,NA,NA
Abudefduf sp.,Pomacentridae,Abudefduf,sp.,5,Inside,375.9,4,CoralReef,Reef-associated
Unknown,Unknown,Unknown,,5,Inside,375.9,3,NA,NA
Kyphosus sp.,Kyphosidae,Kyphosus,sp.,5,Inside,375.9,3,CoralReef,Reef-associated
Unk.Mullid,Mullidae,Unk.Mullid,,5,Inside,375.9,3,CoralReef,Reef-associated
Kyphosus sp.,Kyphosidae,Kyphosus,sp.,5,Inside,375.9,3,CoralReef,Reef-associated
Abudefduf sp.,Pomacentridae,Abudefduf,sp.,5,Inside,375.9,3,CoralReef,Reef-associated
Tylosurus crocodilus,Belonidae,Tylosurus,crocodilus ,5,Inside,375.9,12,Epipelagic,Epipelagic-neritic
Abudefduf sp.,Pomacentridae,Abudefduf,sp.,5,Inside,375.9,2,CoralReef,Reef-associated
Kyphosus sp.,Kyphosidae,Kyphosus,sp.,5,Inside,375.9,3,CoralReef,Reef-associated
Hemiramphus depauperatus,Hemiramphidae,Hemiramphus,depauperatus,5,Inside,375.9,5,Epipelagic,Epipelagic-neritic
Hemiramphus depauperatus,Hemiramphidae,Hemiramphus,depauperatus,5,Inside,375.9,5,Epipelagic,Epipelagic-neritic
Rhinecanthus sp.,Balistidae,Rhinecanthus,sp.,5,Inside,375.9,10,CoralReef,Reef-associated
Hemiramphus depauperatus,Hemiramphidae,Hemiramphus,depauperatus,5,Inside,375.9,5,Epipelagic,Epipelagic-neritic
Mulloidichthys sp.,Mullidae,Mulloidichthys,sp.,5,Inside,375.9,4,CoralReef,Reef-associated
Mulloidichthys sp.,Mullidae,Mulloidichthys,sp.,5,Inside,375.9,4,CoralReef,Reef-associated
Unknown,Unknown,Unknown,,5,Inside,375.9,3,NA,NA
Parexocoetus brachypterus,Exocoetidae,Parexocoetus,brachypterus,5,Inside,375.9,4,Epipelagic,Epipelagic-neritic
Kyphosus sp.,Kyphosidae,Kyphosus,sp.,5,Inside,375.9,3,CoralReef,Reef-associated
Hemiramphus depauperatus,Hemiramphidae,Hemiramphus,depauperatus,5,Inside,375.9,5,Epipelagic,Epipelagic-neritic
Abudefduf sp.,Pomacentridae,Abudefduf,sp.,5,Inside,375.9,3,CoralReef,Reef-associated
Hemiramphus depauperatus,Hemiramphidae,Hemiramphus,depauperatus,5,Inside,375.9,9,Epipelagic,Epipelagic-neritic
Hemiramphus depauperatus,Hemiramphidae,Hemiramphus,depauperatus,5,Inside,375.9,7,Epipelagic,Epipelagic-neritic
Kyphosus sp.,Kyphosidae,Kyphosus,sp.,5,Inside,375.9,3,CoralReef,Reef-associated
Parexocoetus brachypterus,Exocoetidae,Parexocoetus,brachypterus,5,Inside,375.9,4,Epipelagic,Epipelagic-neritic
Hemiramphus depauperatus,Hemiramphidae,Hemiramphus,depauperatus,5,Inside,375.9,7,Epipelagic,Epipelagic-neritic
Mulloidichthys sp.,Mullidae,Mulloidichthys,sp.,5,Inside,375.9,4,CoralReef,Reef-associated
Hemiramphus depauperatus,Hemiramphidae,Hemiramphus,depauperatus,5,Inside,375.9,6,Epipelagic,Epipelagic-neritic
Kyphosus sp.,Kyphosidae,Kyphosus,sp.,5,Inside,375.9,2,CoralReef,Reef-associated
Parexocoetus brachypterus,Exocoetidae,Parexocoetus,brachypterus,5,Inside,375.9,3,Epipelagic,Epipelagic-neritic
Hemiramphus depauperatus,Hemiramphidae,Hemiramphus,depauperatus,5,Inside,375.9,8,Epipelagic,Epipelagic-neritic
Parexocoetus brachypterus,Exocoetidae,Parexocoetus,brachypterus,5,Inside,375.9,3,Epipelagic,Epipelagic-neritic
Mulloidichthys sp.,Mullidae,Mulloidichthys,sp.,5,Inside,375.9,4,CoralReef,Reef-associated
Parupeneus sp.,Mullidae,Parupeneus,sp.,5,Inside,375.9,3,CoralReef,Reef-associated
Hemiramphus depauperatus,Hemiramphidae,Hemiramphus,depauperatus,5,Inside,375.9,5,Epipelagic,Epipelagic-neritic
Parexocoetus brachypterus,Exocoetidae,Parexocoetus,brachypterus,5,Inside,375.9,4,Epipelagic,Epipelagic-neritic
Parexocoetus brachypterus,Exocoetidae,Parexocoetus,brachypterus,5,Inside,375.9,3,Epipelagic,Epipelagic-neritic
Hemiramphus depauperatus,Hemiramphidae,Hemiramphus,depauperatus,5,Inside,375.9,10,Epipelagic,Epipelagic-neritic
Kyphosus sp.,Kyphosidae,Kyphosus,sp.,5,Inside,375.9,3,CoralReef,Reef-associated
Unknown,Unknown,Unknown,,5,Inside,375.9,3,NA,NA
Parexocoetus brachypterus,Exocoetidae,Parexocoetus,brachypterus,5,Inside,375.9,3,Epipelagic,Epipelagic-neritic
Abudefduf sp.,Pomacentridae,Abudefduf,sp.,5,Inside,375.9,4,CoralReef,Reef-associated
Abudefduf sp.,Pomacentridae,Abudefduf,sp.,5,Inside,375.9,4,CoralReef,Reef-associated
Parexocoetus brachypterus,Exocoetidae,Parexocoetus,brachypterus,5,Inside,375.9,3,Epipelagic,Epipelagic-neritic
Kyphosus sp.,Kyphosidae,Kyphosus,sp.,5,Inside,375.9,3,CoralReef,Reef-associated
Hemiramphus depauperatus,Hemiramphidae,Hemiramphus,depauperatus,5,Inside,375.9,5,Epipelagic,Epipelagic-neritic
Abudefduf sp.,Pomacentridae,Abudefduf,sp.,5,Inside,375.9,3,CoralReef,Reef-associated
Abudefduf sp.,Pomacentridae,Abudefduf,sp.,5,Inside,375.9,3,CoralReef,Reef-associated
Hemiramphus depauperatus,Hemiramphidae,Hemiramphus,depauperatus,5,Inside,375.9,5,Epipelagic,Epipelagic-neritic
Kyphosus sp.,Kyphosidae,Kyphosus,sp.,5,Inside,375.9,3,CoralReef,Reef-associated
Mulloidichthys sp.,Mullidae,Mulloidichthys,sp.,5,Inside,375.9,4,CoralReef,Reef-associated
Mulloidichthys sp.,Mullidae,Mulloidichthys,sp.,5,Inside,375.9,4,CoralReef,Reef-associated
Parexocoetus brachypterus,Exocoetidae,Parexocoetus,brachypterus,5,Inside,375.9,3,Epipelagic,Epipelagic-neritic
Exocoetus volitans,Exocoetidae,Exocoetus,volitans,5,Inside,375.9,5,Epipelagic,Epipelagic-oceanic
Parexocoetus brachypterus,Exocoetidae,Parexocoetus,brachypterus,5,Inside,375.9,3,Epipelagic,Epipelagic-neritic
Parexocoetus brachypterus,Exocoetidae,Parexocoetus,brachypterus,5,Inside,375.9,3,Epipelagic,Epipelagic-neritic
Parexocoetus brachypterus,Exocoetidae,Parexocoetus,brachypterus,5,Inside,375.9,4,Epipelagic,Epipelagic-neritic
